"STATION,""NAME"",""LATITUDE"",""LONGITUDE"",""ELEVATION"",""DATE"",""PRCP"",""SNOW"",""SNWD"",""TAVG"",""TMAX"",""TMIN"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-01-20"",""0.08"",""0.0"",""0.0"",""43"",""49"",""39"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-01-21"",""0.11"",""0.0"",""0.0"",""48"",""51"",""39"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-01-22"",""0.36"",""0.0"",""0.0"",""43"",""47"",""40"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-01-23"",""0.88"",""0.0"",""0.0"",""42"",""48"",""40"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-01-24"",""0.44"",""0.0"",""0.0"",""46"",""49"",""41"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-01-25"",""0.15"",""0.0"",""0.0"",""41"",""44"",""37"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-01-26"",""0.41"",""0.0"",""0.0"",""40"",""42"",""38"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-01-27"",""0.55"",""0.0"",""0.0"",""43"",""48"",""41"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-01-28"",""0.06"",""0.0"",""0.0"",""47"",""57"",""43"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-01-29"",""1.09"",""0.0"",""0.0"",""49"",""52"",""43"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-01-30"",""0.00"",""0.0"",""0.0"",""44"",""47"",""39"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-01-31"",""0.00"",""0.0"",""0.0"",""42"",""45"",""39"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-01"",""0.57"",""0.0"",""0.0"",""44"",""46"",""43"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-02"",""0.08"",""0.0"",""0.0"",""48"",""53"",""45"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-03"",""0.14"",""0.0"",""0.0"",""49"",""51"",""48"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-04"",""0.01"",""0.0"",""0.0"",""51"",""55"",""49"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-05"",""0.03"",""0.0"",""0.0"",""49"",""50"",""46"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-06"",""0.05"",""0.0"",""0.0"",""46"",""48"",""44"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-07"",""0.00"",""0.0"",""0.0"",""49"",""54"",""47"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-08"",""0.05"",""0.0"",""0.0"",""51"",""53"",""42"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-09"",""0.00"",""0.0"",""0.0"",""44"",""49"",""39"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-10"",""0.00"",""0.0"",""0.0"",""40"",""46"",""33"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-11"",""0.00"",""0.0"",""0.0"",""39"",""46"",""33"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-12"",""0.00"",""0.0"",""0.0"",""39"",""47"",""32"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-13"",""0.14"",""0.0"",""0.0"",""37"",""48"",""29"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-14"",""0.10"",""0.0"",""0.0"",""40"",""44"",""37"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-15"",""0.01"",""0.0"",""0.0"",""40"",""45"",""36"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-16"",""0.11"",""0.0"",""0.0"",""42"",""47"",""40"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-17"",""0.30"",""0.0"",""0.0"",""46"",""49"",""39"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-18"",""0.06"",""0.0"",""0.0"",""38"",""39"",""30"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-19"",""0.00"",""0.0"",""0.0"",""32"",""37"",""28"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-20"",""0.00"",""0.0"",""0.0"",""31"",""36"",""27"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-21"",""0.06"",""1.0"",""0.0"",""31"",""34"",""26"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-22"",""0.00"",""0.0"",""1.2"",""31"",""38"",""26"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-23"",""0.03"",""0.0"",""0.0"",""30"",""40"",""24"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-24"",""0.06"",""0.0"",""0.0"",""37"",""45"",""36"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-25"",""0.20"",""0.0"",""0.0"",""42"",""43"",""35"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-26"",""0.00"",""0.0"",""0.0"",""37"",""45"",""32"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-27"",""0.01"",""0.0"",""0.0"",""40"",""47"",""37"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-02-28"",""0.15"",""0.0"",""0.0"",""42"",""47"",""39"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-01"",""0.03"",""0.0"",""0.0"",""44"",""51"",""37"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-02"",""0.18"",""0.0"",""0.0"",""42"",""45"",""37"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-03"",""0.00"",""0.0"",""0.0"",""41"",""52"",""34"""
